Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
4b9c1991-8733-d3f6-777d-6310b5dd7af2,1968-05-20,,999-36-6696,S99929967,X76279881X,Mrs.,Delia459,Kathyrn611,Lesch175,,Pagac496,W,asian,hispanic,F,Santa Clara  California  US,1062 Hegmann Row Apt 57,Fresno,California,Fresno County,6019,93706,36.75009277826428,-119.77389264048178,363876.68,1237385.92,31206
ae8722c8-8fe3-3bf6-9ae3-d25954bcb8b8,1965-02-20,,999-42-9609,S99923573,X35991744X,Mrs.,Yong583,Oralia106,Friesen796,,Turcotte120,M,white,nonhispanic,F,Apple Valley  California  US,113 Oberbrunner Trail Suite 11,Santa Ana,California,Orange County,6059,92703,33.70156373541448,-117.85518759005726,476303.99,1632174.27,48846
9f6a80af-4fa3-bd0f-750b-94b7c3f7046d,1955-05-07,2023-05-10,999-41-5047,S99962644,X84006053X,Mrs.,Katherina205,Kimber624,Heathcote539,,Corwin846,M,white,nonhispanic,F,Camarillo  California  US,947 Treutel Skyway Suite 59,Hayward,California,Alameda County,6001,94544,37.73002643106544,-122.10813657559525,956531.98,522062.38,47252
d62238e5-917d-0df5-5c35-6aa5d13f17af,1960-08-16,,999-28-3434,S99912659,X15154159X,Mr.,José Eduardo181,Ricardo560,Méndez913,,,D,white,hispanic,M,Port-au-Prince  Haiti  HT,1046 Lueilwitz Ranch Unit 15,South Dos Palos,California,Merced County,6047,93665,36.930284366172096,-120.68868820611614,286686.15,189089.83,36487
6872def5-772f-427c-3053-de6e1c71ce0a,1960-01-30,,999-96-6821,S99933974,X77359943X,Mr.,Alfred550,Andres25,West559,,,M,white,hispanic,M,Clovis  California  US,1037 Stehr Park,Chino Hills,California,San Bernardino County,6071,91709,34.00456552463694,-117.78349494036952,169443.24,103892.71,363895
6f3ec64a-c315-2b26-5973-21ef2f09160f,1981-10-29,,999-14-3900,S99972011,X10902702X,Ms.,Velvet616,Belia417,Legros616,,,S,white,nonhispanic,F,Riverside  California  US,893 McGlynn Gateway Apt 0,San Ramon,California,Contra Costa County,6013,94583,37.770453690112504,-121.91869105402458,201455.77,1289721.88,162127
6b060c17-b5af-82b5-0417-38644cf1fef5,1965-07-09,,999-32-3520,S99938083,X51271045X,Mr.,Joaquín233,Lucas404,Regalado83,,,S,black,hispanic,M,San Jose  San Jose  CR,129 Brakus Burg,Fontana,California,San Bernardino County,6071,91739,34.116345053968594,-117.49638373555412,351340.78,1201556.20,70549
a832f5fa-07a9-e8ef-dc1a-8df6376be9cf,1984-07-19,,999-53-3586,S99985044,X86128030X,Mr.,Korey682,Fred155,Howell947,,,M,asian,nonhispanic,M,San Diego  California  US,542 Connelly Dam Suite 86,San Diego,California,San Diego County,6073,92103,32.6096840762082,-116.971407591123,137617.80,45582.08,147544
44a8ca45-6c6e-38bb-fac0-ddbf7a7ee3a4,1987-09-14,,999-51-4389,S99979881,X86178706X,Mr.,Rudolf736,Angelo118,Rohan584,MD,,M,white,nonhispanic,M,Irvine  California  US,110 Johns Wall Suite 79,Ben Lomond,California,Santa Cruz County,6087,95005,37.11559400865473,-122.08517820168393,144058.28,843187.80,432486
7ac6b3c7-cdd7-23c4-52bf-a6cd4440a9d6,1974-06-03,,999-44-4295,S99990264,X48681035X,Mrs.,Norma469,Esperanza675,Bétancourt447,,Esquibel766,D,white,hispanic,F,Caguas  Puerto Rico  PR,788 Reynolds Mall,Turlock,California,Stanislaus County,6099,95382,37.53826039606934,-120.87565773180366,456504.27,348273.04,69914
73c66565-1b7f-5b57-4029-83de693606a4,1995-09-02,2011-05-23,999-29-2923,,,,Lia388,Lashon823,Rosenbaum794,,,,white,nonhispanic,F,San Francisco  California  US,1073 Wunsch Quay Suite 85,La Habra,California,Orange County,6059,92835,33.89059853588307,-117.96407200745965,55370.85,74730.29,47115
12e6dd54-169a-78f9-02f0-e7e41b07b0eb,2005-02-17,,999-85-8101,S99972821,,Ms.,Kandi717,Tran115,Romaguera67,,,,white,nonhispanic,F,San Marino  California  US,672 Koelpin Glen,Woodland,California,Yolo County,6113,95695,38.66004436093744,-121.7407565116409,96584.40,29419.85,98212
e468e3f0-9c9c-5374-b953-db1ba26c9617,2006-01-30,,999-43-9141,S99937223,,Ms.,Towanda270,Darla154,Harvey63,,,,white,nonhispanic,F,Reedley  California  US,418 Grimes Path,Los Angeles,California,Los Angeles County,6037,90018,34.10506505050679,-118.41202546693044,62568.44,40700.06,50734
6c434506-fb4b-3e3f-c19d-553dec3b6c17,1960-08-24,2019-05-17,999-44-3322,S99917188,X29814445X,Mrs.,Claudia969,,Fuentes250,,Pacheco179,D,asian,hispanic,F,La Paz  Baja California  MX,625 Doyle Row,Sacramento,California,Sacramento County,6067,95818,38.535446317411456,-121.35736776420649,32611.00,2055691.12,5779
0d7f673c-e7ef-53d0-f561-1a7e9dd15d0c,1967-12-11,,999-73-2801,S99944547,X40770452X,Mrs.,Lashunda872,Leanna255,Wilderman619,,Little434,M,white,nonhispanic,F,Los Angeles  California  US,378 Yundt Plaza,Moreno Valley,California,Riverside County,6065,92557,33.84209984512405,-117.09515014232036,984440.50,894619.12,38068
b29d5c39-026f-83b0-9e74-963143634b97,2001-11-13,,999-48-6275,S99985274,X74186120X,Mr.,Marc757,Jamie386,Batz141,,,,hawaiian,nonhispanic,M,San Diego  California  US,344 Waters Way,Twentynine Palms,California,San Bernardino County,6071,92277,34.24432010923632,-116.03035741456874,85613.37,0.00,80366
aeb6fd40-c0da-23a8-7b46-6c9fe558d7b2,2021-04-18,,999-22-1245,,,,María del Carmen27,Inés791,Garay400,,,,white,hispanic,F,Gaudalajara  Jalisco  MX,934 Schamberger Route,San Diego,California,San Diego County,6073,92134,32.67926556722606,-117.15965437755452,1350.00,27107.78,15181
fb00b97e-91b2-234e-4c91-09276b3d8366,2011-08-12,,999-48-1687,,,,Kristina583,Joi660,Pfeffer420,,,,white,nonhispanic,F,Fresno  California  US,862 Kris Gateway,Stockton,California,San Joaquin County,6077,95210,37.9838733296254,-121.28113360524533,2000.00,23228.18,11612
e5b40b82-031b-610f-787e-2a4242efcfea,2015-05-13,,999-80-5043,,,,Romaine793,,Brakus656,,,,white,nonhispanic,F,Sunnyvale  California  US,203 Ortiz Wall Suite 23,Mira Monte,California,Ventura County,,00000,34.4708253512207,-119.28930042645982,17590.21,11016.11,57181
7a6c99fe-2ef3-9b73-1160-87edb0e7e822,1955-05-07,2006-09-21,999-99-4220,S99910127,X88892467X,Mrs.,Nada112,Shanti441,Quigley282,,Jacobson885,M,white,nonhispanic,F,San Buenaventura (Ventura)  California  US,1086 Vandervort Forge Apt 46,Hayward,California,Alameda County,6001,94541,37.71030925575168,-122.16622099264887,838789.05,38086.01,47252
3237ddd9-55c0-a584-90cc-83b1d1ae39bf,2018-02-21,,999-31-2229,,,,Concepción765,María del Carmen27,Razo972,,,,asian,hispanic,F,Carolina  Puerto Rico  PR,187 Emmerich Parade,Parlier,California,Fresno County,6019,93648,36.64838436486959,-119.47132407985396,1650.00,19556.14,15648
08b3d6d2-696d-0746-a0d3-c2a5d463f7ba,2001-02-12,,999-17-8313,S99973478,X53281305X,Ms.,Jenna662,,Turner526,,,,white,nonhispanic,F,San Francisco  California  US,835 Ondricka Haven Unit 91,Pasatiempo,California,Santa Cruz County,,00000,37.03736265577278,-122.01974680493464,130784.73,249542.40,923850
9ecb78eb-1783-f5e7-2527-05dcb17916d8,2005-06-21,,999-28-6335,S99943370,,Mr.,Ryan260,,Swaniawski813,,,,white,nonhispanic,M,San Jose  California  US,1068 Larkin Underpass Apt 68,Kingsburg,California,Fresno County,6107,93631,36.4976895206466,-119.52858882796411,3600.00,63579.18,11792
54a6f9f9-8f70-4897-015c-3762e169e70f,2000-01-08,,999-85-7848,S99910725,X67872669X,Mr.,Jc393,Demarcus108,Leffler128,,,,white,nonhispanic,M,Seaside  California  US,246 Ondricka Glen,Los Angeles,California,Los Angeles County,6037,90016,34.08060741113242,-118.45898596700583,12518.56,829694.50,41602
9cb5a91e-6d01-1996-6b45-a6ddd9b7076c,1996-04-14,,999-22-7778,S99985676,X61076919X,Mr.,Miguel Ángel46,José Emilio366,Robles531,,,M,white,hispanic,M,La Paz  Baja California  MX,1026 Huels Boulevard,San Diego,California,San Diego County,6073,92111,32.78112320195534,-117.19988692216377,103963.01,43363.10,969207
801f9570-e398-cfde-9c80-2381c03ab30e,2022-02-23,,999-39-5076,,,,Ernest565,Rhett759,Gorczany269,,,,white,hispanic,M,Riverside  California  US,632 Batz Common Unit 53,Bakersfield,California,Kern County,6029,93314,35.33793292613571,-118.99945830334667,28367.01,0.00,69740
3c865c64-7112-8dc1-d3a4-a5a102bede45,2012-10-10,,999-65-8389,,,,Norman647,Gregg522,Christiansen251,,,,white,hispanic,M,Lynwood  California  US,1018 Gusikowski Trailer,San Bruno,California,San Mateo County,6081,94030,37.60512472483575,-122.36123525356365,40526.43,1180.38,125832
4113255f-4e35-506a-ddef-4429caa17ffc,1961-06-21,,999-88-1434,S99967663,X67822441X,Mrs.,Rasheeda241,Mirian768,Trantow673,,Heaney114,D,white,nonhispanic,F,Boyes Hot Springs  California  US,946 Carroll Arcade Suite 20,Los Angeles,California,Los Angeles County,6037,90045,34.134192236551335,-118.49773037454298,908459.97,673837.22,45680
3cb00951-f5a6-8180-00d2-ae0322d2ea7d,1970-06-20,2017-12-22,999-42-7034,S99915192,X2744123X,Mr.,Colton403,Randall756,Gislason620,,,M,white,nonhispanic,M,Salinas  California  US,420 Kovacek Rue Suite 62,Bakersfield,California,Kern County,6029,93311,35.33671145887733,-119.05388389282035,20541.21,532600.32,5321
9df4460a-2f66-2d07-de9e-0afaf84bb157,1972-10-21,,999-18-7495,S99964211,X49448671X,Mr.,Keven605,Jeff859,Daugherty69,,,S,white,hispanic,M,Toro Canyon  California  US,1041 Schuppe Vale,Avenal,California,Kings County,6031,93204,36.0444093987823,-120.0962778445222,163819.75,486807.61,3229
d172514a-6703-7f8e-b76d-a9ddc6e49a5b,2002-09-24,,999-24-9427,S99941019,X39824987X,Mr.,Adolfo777,,Jaskolski867,,,,white,nonhispanic,M,Alameda  California  US,327 Jerde Common Suite 22,Orange,California,Orange County,6059,92868,33.77433727732648,-117.97727470883032,8457.04,103757.22,29632
8ca8f7ce-77b0-d11e-09cf-5d946ee0c801,1995-09-02,,999-21-7909,S99974805,X28708557X,Ms.,Shena75,Bea654,McGlynn426,,,S,white,nonhispanic,F,Jurupa Valley  California  US,682 Emmerich Estate,La Habra,California,Orange County,6059,92835,33.96687461178963,-117.97673557492169,134270.30,407533.31,47115
d9fb22dd-45ab-41e3-7c6c-393d74805e67,1953-05-09,,999-94-7134,S99998446,X48259994X,Mrs.,Mari763,Thora330,Monahan736,,Fadel536,M,black,nonhispanic,F,Rancho Cucamonga  California  US,291 Wintheiser Dam Apt 49,Corona,California,Riverside County,6065,92860,33.79207304722319,-117.55296504887082,727207.36,805199.37,35382
b5ee241c-8d9f-67a4-437a-5665fb026da3,1999-03-25,,999-75-5198,S99943077,X2364198X,Ms.,Chantelle310,,Kulas532,,,,white,nonhispanic,F,Orcutt  California  US,157 Walsh Highlands Suite 20,East Palo Alto,California,San Mateo County,6085,94303,37.50213389896496,-122.09603432351479,145344.56,211056.03,145751
8196e80b-2dd7-6f13-8bd2-432e7b14e47b,1993-01-16,,999-85-2624,S99950526,X78092803X,Mr.,Rupert654,Jarrod316,Lebsack687,,,M,white,nonhispanic,M,Los Angeles  California  US,883 Jacobson Avenue Suite 98,Los Angeles,California,Los Angeles County,6037,91306,34.28805928938378,-118.56843589473367,4302.03,136310.30,4579
33d477d9-1fe8-91c1-cba0-6bd8f8415e65,2010-06-24,,999-62-8911,,,,Jimmie93,Sterling124,Willms744,,,,white,nonhispanic,M,Los Angeles  California  US,246 Beahan Throughway Unit 79,Huntington Beach,California,Orange County,6059,92683,33.67303229191419,-117.9581282305483,56966.33,1621.91,807493
2ff5b5a6-d177-3b18-8e85-efa8aa817da5,1995-06-01,,999-57-6646,S99929318,X37260478X,Mr.,Neil122,Julio255,Littel644,,,M,white,hispanic,M,Newcastle  California  US,341 Price Landing Suite 26,Irvine,California,Orange County,6059,92630,33.67927016174437,-117.85205301609285,121660.76,37077.99,160644
aab91768-4ec3-4c91-e67f-31916a784409,2020-09-05,,999-59-5093,,,,Helena807,,Becker968,,,,white,nonhispanic,F,Los Angeles  California  US,293 Kihn View,Oakland,California,Alameda County,6001,94610,37.80363212586035,-122.21734936331164,5363.62,4281.40,55062
98b29475-c028-0a58-e08f-0cd93982a198,1991-10-29,,999-48-9706,S99955404,X63677087X,Mr.,Esteban536,César846,Cordero852,,,M,black,hispanic,M,Kingston  Kingston  JM,339 Durgan Course Apt 89,Hesperia,California,San Bernardino County,6071,92344,34.4278087833104,-117.1665487423323,8205.22,443627.06,15718
36b04a95-4c30-db64-3e7a-1215ebdb5c33,2024-10-08,,999-65-3913,,,,Emilio417,Sancho742,Bahena335,,,,white,hispanic,M,Mexico City  Mexico City  MX,922 O'Connell Loaf,Poway,California,San Diego County,6073,92131,32.91525361214913,-117.09707757421671,1468.84,43.37,103562
47a09a92-ead2-b13a-c858-5adb5b8613ad,2005-03-30,2006-05-12,999-21-5081,,,,Randell912,,Murphy561,,,,white,nonhispanic,M,San Rafael  California  US,371 Considine Haven Suite 65,Walnut,California,Los Angeles County,6037,91768,34.09596389104403,-117.79272438693637,10919.87,14798.60,144968
de064367-b981-212e-7640-35b1c6fc7b50,2010-10-18,,999-21-7544,,,,Tobias236,Moises22,Walsh511,,,,asian,nonhispanic,M,Madera  California  US,116 Hane Ville,Folsom,California,Sacramento County,6067,95742,38.67967271988977,-121.15950306255982,56284.44,2979.41,136638
4bfd1cb9-8984-249c-c37f-2353c74f66a6,2016-07-26,,999-68-2719,,,,Carmelo33,Wilber603,Stamm704,,,,white,nonhispanic,M,Lemon Hill  California  US,713 Roberts Tunnel Suite 55,San Diego,California,San Diego County,6073,92126,32.80275797027553,-117.19202448283845,34401.52,5577.60,165558
7e1e93f8-2031-7073-b428-b300a71d0b5f,1943-11-02,1992-02-01,999-39-3058,S99984181,X47347031X,Mrs.,Kirsten270,Santana368,Langworth352,,O'Hara248,M,white,nonhispanic,F,Lafayette  California  US,576 Kuvalis Dale,Oceanside,California,San Diego County,6073,92010,33.34494083225661,-117.15949053820493,1577653.47,1478246.84,39885
abc45bec-b36e-3f75-e1d9-8773646608f3,1969-03-02,,999-47-1555,S99910992,X50050905X,Mrs.,Marcela739,,Montenegro24,,Barela183,M,asian,hispanic,F,La Paz  Baja California  MX,486 Simonis Parade Suite 41,Sacramento,California,Sacramento County,6067,95864,38.63430882675248,-121.41006280967495,712709.75,523208.74,89243
eb76c027-3233-acb1-fd9a-099047ca7cb4,1954-02-27,,999-44-9063,S99949176,X59008285X,Mr.,Arlie183,Thomas756,Yundt842,,,M,black,nonhispanic,M,Bayview  California  US,644 Reilly Bypass,Fair Oaks,California,Sacramento County,6067,95628,38.62628080485814,-121.25599748748017,325000.15,240332.79,68761
2b440c6c-29db-af6a-02a2-30a13411bf78,1983-05-16,,999-48-8318,S99939824,X41073268X,Mr.,Noah480,Micah422,Weber641,,,M,white,nonhispanic,M,Taft  California  US,611 Grant Trafficway,Torrance,California,Los Angeles County,6037,90503,33.866665157637456,-118.3666485453354,228384.19,1247027.70,156762
3fc45605-33b6-b9ad-6e8a-135b587c69ac,2005-03-30,,999-48-6120,S99950534,,Mr.,Antone63,Felipe97,Donnelly343,,,,white,nonhispanic,M,San Francisco  California  US,751 Cartwright Drive,Walnut,California,Los Angeles County,6037,91724,34.122671310262234,-117.80876259802,89669.01,11685.31,144968
f0d3325f-af66-3c17-fc73-320082b9b12d,1955-05-07,,999-53-9372,S99960515,X42578469X,Mrs.,Shawanna357,Jacquelynn434,Marks830,,Erdman779,M,white,nonhispanic,F,San Jose  California  US,222 O'Hara Frontage road,Hayward,California,Alameda County,6001,94546,37.70280282588539,-122.04413554346702,791724.22,489313.84,47252
ddfa516a-3f42-af6c-5779-548d6943e116,1987-11-15,,999-48-9374,S99968134,X42203799X,Mr.,Stanley702,Andres25,Terry864,,,S,asian,nonhispanic,M,Macau  Macao Special Administrative Region of the People's Republic of China  CN,230 Anderson Mill,Los Angeles,California,Los Angeles County,6037,90003,34.021704372831046,-118.45469244817012,134070.59,21371.42,61420
cf5956bb-34f2-841b-2505-57b99991c377,1991-02-16,,999-36-9799,S99943938,X87511671X,Mrs.,Dagmar148,Krystal150,Hyatt152,,Hills818,M,white,nonhispanic,F,Paramount  California  US,592 Schinner Heights Suite 91,Redlands,California,San Bernardino County,6071,92399,34.02981406871675,-117.14437007132939,132144.41,267814.67,47402
cf35b7f5-e324-fe91-7fa1-1f4c64f7bf0c,1970-06-20,,999-44-3956,S99962715,X40248335X,Mr.,Jordon466,Odis959,Pagac496,,,M,white,nonhispanic,M,Berkeley  California  US,520 Abernathy Walk Suite 45,Bakersfield,California,Kern County,6029,93309,35.249395778998384,-118.96016782256736,17685.91,317230.75,5321
780ec78c-22a0-fcdb-17c6-ae9b2fcace9c,1948-01-12,,999-23-8384,S99914337,X71781476X,Mrs.,Juliane376,Maryanna659,Hermiston71,,Boyle917,M,white,hispanic,F,Los Angeles  California  US,693 Williamson Lock Unit 73,Winton,California,Merced County,6047,95388,37.433948428026554,-120.55541433315304,1540204.52,240093.24,56549
2add8cb0-9ec4-15de-4e5b-e812509a5068,1970-04-21,,999-59-2264,S99929030,X50667321X,Mrs.,Barbara209,Leonor133,Negrete68,,Bañuelos542,M,white,hispanic,F,Bogota  Bogota  CO,434 Wisozk Road,Castro Valley,California,Alameda County,6001,94552,37.711444687458396,-122.05133058966452,306953.24,436382.10,162002
f53fcb20-8df7-cf7f-56bc-8b470fda1d09,1960-08-24,,999-80-6152,S99927686,X9012346X,Mrs.,Conchita9,Marilu588,Galván169,,Muñoz828,M,asian,hispanic,F,Havana  Havana  CU,359 Harvey Esplanade Unit 70,Sacramento,California,Sacramento County,6067,95838,38.69625023439131,-121.50240349014427,18597.83,2317522.69,5779
6099312c-bb96-dbc6-c51c-00ca66e0273a,1975-05-14,1979-07-02,999-25-2889,,,,Jarred626,Brock407,Gislason620,,,,white,nonhispanic,M,Anaheim  California  US,498 Dare Passage Apt 52,Long Beach,California,Los Angeles County,6037,90806,33.7486665395022,-118.16870391115918,5879.69,0.00,104753
cf0317fa-538c-da95-fa7c-eb5466ede656,1990-10-07,,999-81-9986,S99925131,X41075105X,Mr.,Bo157,Reginald96,Armstrong51,,,M,white,hispanic,M,Loma Linda  California  US,728 Kuhlman Lane Suite 85,West Covina,California,Los Angeles County,6037,91724,34.03693073160944,-117.82840191047524,109274.39,87544.16,38991
ca424f09-df70-f4a9-986f-8e11f4dd838b,1973-07-01,,999-24-6810,S99970180,X5632720X,Mr.,Cliff504,,Hahn503,,,D,white,nonhispanic,M,Sacramento  California  US,382 Nader Passage,Santa Ana,California,Orange County,6059,92705,33.694866350303236,-117.7980304198809,148967.49,19042.05,49151
6be6dbc4-b4fa-be8d-bc6f-1439800193f2,1944-12-02,,999-15-1972,S99963662,X9528555X,Ms.,Elisa944,,Melgar516,,,S,asian,hispanic,F,Wesley  Saint Andrew Parish  DM,228 Osinski Ramp Unit 30,Santa Ana,California,Orange County,6059,92706,33.77838067963616,-117.87696246087879,34796.94,2083211.35,12959
0255e447-8975-9a0a-965f-75266aaa37f1,2002-04-03,,999-53-1358,S99960445,X15756675X,Ms.,Marcelene872,Brande998,Sporer811,,,,white,nonhispanic,F,San Diego  California  US,1074 Botsford Mall,Stanford,California,Santa Clara County,6085,94305,37.39695606318295,-122.14144640057826,6847.79,212789.70,5348
ca286431-e75a-ccdb-f1bf-b3d1bf3e6ef1,1993-02-24,,999-98-9577,S99969921,X39830709X,Ms.,Gilma310,Elisa944,Bogan287,,,S,white,hispanic,F,Victorville  California  US,1002 Schimmel Underpass Suite 83,Lancaster,California,Los Angeles County,6037,93536,34.6753529553044,-118.16565775273361,12534.05,333632.25,16805
509acf6b-ef54-fc75-32c0-3b542ba71495,1969-02-21,,999-20-3416,S99966381,X18906199X,Mr.,Francesco636,Charles364,Weber641,,,S,asian,nonhispanic,M,San Jose  California  US,765 Braun Lane,Fairfield,California,Solano County,6095,94585,38.25087581971887,-122.15339850753453,324723.68,48457.59,42555
0d03cc3c-5fc3-79bf-1e7c-982cff303066,1965-04-08,,999-72-6031,S99943593,X15665070X,Mr.,Chester802,,Harber290,,,D,asian,hispanic,M,Simi Valley  California  US,927 Johnson Rest Suite 12,West Puente Valley,California,Los Angeles County,,00000,34.058275773156105,-118.01615930075528,23816.09,433547.41,13758
3a46995f-0d6d-db33-42b9-1582414dffef,2013-12-05,,999-42-2928,,,,Alvin56,Kristofer887,Rempel203,,,,black,nonhispanic,M,Fullerton  California  US,1051 Bergnaum Ramp,Poway,California,San Diego County,6073,92065,32.98535185105825,-117.05382286412079,21843.60,9768.84,63148
6a638349-4d85-7671-110b-41c3347b1d97,1995-08-07,,999-31-9191,S99949231,X57459348X,Mrs.,Jesusita936,Davida245,Robel940,,Hahn503,M,asian,nonhispanic,F,Greenfield  California  US,427 McDermott Lock Apt 34,Sacramento,California,Sacramento County,6067,95838,38.51180410465625,-121.29358882116647,15395.86,1271498.92,78111
9997b8ce-f9ed-19b2-c67c-9e0ae75862a7,1973-12-30,,999-95-7186,S99994724,X74256186X,Mrs.,Marquitta546,Cathie710,Wyman904,,Medhurst46,M,white,hispanic,F,Montebello  California  US,963 Wunsch Gateway Unit 80,Quartz Hill,California,Los Angeles County,6037,93536,34.72729273488978,-118.40174211568998,383429.97,397031.03,41828
99249ff1-59a9-dc6e-c152-4ca393cd57c5,2001-02-23,,999-22-2990,S99948253,X89501403X,Ms.,Emilia403,Adriana394,Villareal516,,,,white,hispanic,F,Mexico City  Mexico City  MX,530 Watsica Trafficway Suite 89,Lake Forest,California,Orange County,6059,92630,33.64011232738247,-117.60008163976944,6582.02,491971.22,10070
12328950-1a9d-3de8-714c-b4c5b29a3749,1976-10-06,,999-64-7246,S99982635,X69385105X,Mr.,Lyle846,,Armstrong51,,,M,black,nonhispanic,M,La Quinta  California  US,983 Prosacco Green,Wrightwood,California,San Bernardino County,6071,92397,34.34875580028693,-117.66976960639843,213670.14,35631.71,55571
8d091ce8-ac29-a58d-a09a-50cf5aff34b6,1974-01-23,,999-52-2140,S99916602,X27966316X,Mrs.,Tabatha105,Kristeen693,Braun514,,Nolan344,M,hawaiian,nonhispanic,F,Corralitos  California  US,127 Hansen Terrace,Mission Viejo,California,Orange County,6059,92688,33.61401701529162,-117.72243827768516,544086.84,743321.63,63788
f64ce1fe-1931-6641-1850-2fd3e263becf,2004-07-24,,999-22-5027,S99936126,X88455440X,Ms.,Gwen761,Stefany238,Lakin515,,,,white,hispanic,F,Long Beach  California  US,487 Yundt Grove Suite 50,Atherton,California,San Mateo County,6081,94027,37.41773340665849,-122.16018274235006,107578.25,965685.32,57145
aff5855f-d411-2f08-57b6-025559937742,2017-04-19,,999-95-1784,,,,Chadwick722,Laurence43,Schmidt332,,,,white,hispanic,M,San Ramon  California  US,733 Kilback Promenade Apt 13,Corona,California,Riverside County,6065,92881,33.83568115069507,-117.56811463506254,1212.85,19901.77,26873
da1f951e-ede3-bd47-4bf9-5838f5dbbb18,1975-10-03,,999-40-9672,S99920412,X53291323X,Mr.,Elias404,,Erdman779,,,D,asian,hispanic,M,Culver City  California  US,844 Sanford Crossroad,Santa Ana,California,Orange County,6059,92706,33.7993938327734,-117.87697212909401,228376.33,145869.21,105619
a05f9d67-e117-04f6-f225-691fb7ba627f,1975-05-14,,999-48-3647,S99965250,X51141099X,Mr.,Russell422,,Parisian75,,,S,white,nonhispanic,M,Los Angeles  California  US,1014 Hane Ferry Apt 54,Long Beach,California,Los Angeles County,6037,90814,33.73930641411371,-118.25416019615746,168194.49,127038.52,104753
